,名称,评论,人均消费,标签,地点,团购
0,禧月阁月子中心(香山店),35.0,96641.0,月子会所,香山,"
团购：仅售168元，价值498元专业孕期瑜伽课程体验
            "
1,星光阿曼月子中心,14.0,116476.0,月子会所,酒仙桥,
2,妈妈美娅月子中心(三元桥店),80.0,62494.0,月子会所,亮马桥/三元桥,更多3单团购
3,圣宝月子修养中心,2.0,,月子会所,清河,更多2单团购
4,美满国际月子中心(协和母婴护理师店),244.0,46319.0,月子会所,建国门/北京站,更多1单团购
5,熙悦巢月子会所,94.0,82102.0,月子会所,国贸,更多2单团购
6,莱弗月子会所Life,409.0,50925.0,月子会所,天通苑,
7,华庭月子会所(方庄店),56.0,57766.0,月子会所,方庄,"
团购：仅售11元，价值998元营养月子餐品鉴
            "
8,台湾敦南真爱月子会所(北京店),208.0,59835.0,月子会所,高碑店,更多3单团购
9,月安馨月子会所(香山店),282.0,70062.0,月子会所,香山,更多1单团购
10,美泰海外美国月子会所-赴美生子,28.0,,月子会所,国贸,"
团购：仅售1元，价值1880元美国洛杉矶孕产体验套餐
            "
11,莎莉欣月月子中心,184.0,66327.0,月子会所,什刹海,更多3单团购
12,玺宝嘉月子会所·产后修复(方庄店),51.0,50350.0,月子会所,方庄,更多3单团购
13,新妈妈月子中心,1027.0,68622.0,月子会所,亚运村,"
团购：仅售66800元，价值68800元新妈妈优惠套餐
            "
14,西山馨月月子中心(杏石口店),179.0,53920.0,月子会所,四季青,更多2单团购
15,北京月嫂月子中心,7.0,,月子会所,六里桥/丽泽桥,"
团购：仅售298元，价值1960元产后修护调理惊喜套餐
            "
16,妈咪悦音乐主题月子会所,42.0,46655.0,月子会所,亦庄,
17,怡玥宝贝月子中心(悠唐旗舰店),117.0,63858.0,月子会所,朝外大街,更多2单团购
18,诗安国际月子会所(朝阳店),146.0,50507.0,月子会所,北苑家园,"
团购：仅售1元，价值289元诗安精品月子餐
            "
19,安娜贝儿（医疗级）月子会所,28.0,52039.0,月子会所,土桥,更多5单团购
20,禧月阁月子中心(望京店),1247.0,102469.0,月子会所,望京,更多1单团购
21,芙蓉花月子会所(CBD高尔夫店),104.0,47467.0,月子会所,朝阳其它,
22,爱月汇月子中心,307.0,55777.0,月子会所,东直门,更多2单团购
23,美睦月子会所(西四环别墅店),181.0,63468.0,月子会所,四季青,更多1单团购
24,馨月汇月子中心(朝阳店),873.0,115495.0,月子会所,酒仙桥,
25,琅悦月子会所(香格里拉品牌示范店),297.0,71046.0,月子会所,紫竹桥,更多7单团购
26,爱贝宫国际母婴健康护理中心,237.0,60631.0,月子会所,亦庄,更多4单团购
27,爱悦希新加坡国际月子中心,36.0,45773.0,月子会所,刘家窑,
28,享悦轩月子中心,351.0,64434.0,月子会所,亚运村,
29,欧缇蔓国际医美月子会所(大兴店),16.0,41167.0,月子会所,黄村,
30,北京爱帝宫月子中心,267.0,87605.0,月子会所,顺义区,"
团购：仅售159元，价值298元#品味月子餐 品味科学坐月子#
            "
31,爱玛家月子会所 十五年的月子会所,353.0,45320.0,月子会所,后沙峪,更多4单团购
32,和睦家产后康复中心,154.0,142682.0,月子会所,姚家园,
33,林李和月嫂·育儿嫂,32.0,5213.0,月嫂,东坝,更多2单团购
34,禧月荟国际月子中心(昌平店),72.0,53950.0,月子会所,昌平镇,更多3单团购
35,美婴家月子会所,22.0,32407.0,月子会所,国展,
36,月来悦好国际月子会所,214.0,83489.0,月子会所,新华大街,
37,知妈堂孕期教育中心·孕妇瑜伽(望京店),37.0,12858.0,月子护理,望京,更多1单团购
38,心瑞国际月子会所(金宝街店),55.0,114822.0,月子会所,王府井/东单,
39,享月月嫂公司(海淀店),310.0,14658.0,月嫂,中关村,更多1单团购
40,芙蓉花月子会所总部基地店(医疗级月子会所连锁),128.0,66018.0,月子会所,总部基地,"
团购：仅售6元，价值298元芙蓉精品月子餐
            "
41,知妈堂孕期教育中心·孕妇瑜伽(望京店),37.0,12858.0,月子护理,望京,更多1单团购
42,巍阁月子中心(东直门店),236.0,176901.0,月子会所,朝外大街,
43,北京禧宝汇月子会所,129.0,92392.0,月子会所,公主坟/万寿路,
44,伊月园月子会所,63.0,60564.0,月子会所,长阳镇,
45,好孕妈妈月嫂(凯旋城总店),1281.0,14778.0,月嫂,亚运村,更多8单团购
46,爱育华妇儿医院,570.0,36043.0,妇幼医院,亦庄,更多5单团购
47,新寰亚月子会所,16.0,,月子会所,十里河,
48,圣贝拉母婴护理中心,15.0,181341.0,月子会所,王府井/东单,更多1单团购
49,台湾宝妈Care产后恢复中心(奥体店),145.0,13037.0,产后恢复,亚运村,更多9单团购
50,杰玛家月子会所,58.0,48563.0,月子会所,庞各庄,更多3单团购
51,北京宝岛产后月子中心,5.0,,月子会所,北太平庄,
52,天赐宠儿月子中心会所,36.0,46558.0,月子会所,朝阳区,
53,莎莉欣月母婴护士到家,12.0,12161.0,月嫂,什刹海,更多5单团购
54,臻月月子餐孕期餐小产餐,213.0,15008.0,月子餐,双井,更多2单团购
55,宝月中美国际月子中心(含赴美生子项目店),1.0,,月子会所,通州区,
56,宝月中美国际月子中心(含赴美生子项目店),1.0,,月子会所,通州区,
57,好孕妈妈月嫂(双井分店),72.0,15973.0,月嫂,双井,更多8单团购
58,臻月月子餐孕期餐小产餐,213.0,15008.0,月子餐,双井,更多2单团购
59,妈咪爱中心CENTRE OFMOM(妈咪爱品牌高端月子会所),51.0,123937.0,月子会所,建外大街,
60,亿婴宝•月嫂服务中心(朝阳店),370.0,15825.0,月嫂,朝阳公园/团结湖,更多4单团购
61,产后精养 Lady·梦(望京店),141.0,3236.0,产后恢复,望京,更多9单团购
62,馨福月子会所,137.0,53308.0,月子会所,六里桥/丽泽桥,"
团购：仅售798元，价值1680元产后形体修护
            "
63,巍阁月子中心(通州店),35.0,,月子会所,果园,
64,安琪妇产医院,175.0,1827.0,妇幼医院,梨园,更多12单团购
65,旺孕堂月嫂·育婴嫂·产后恢复,71.0,12309.0,月嫂,五棵松,"
团购：仅售58元，价值200元代金券
            "
66,燕园拾月月子会所,5.0,,月子会所,昌平区,
67,佳翊会母婴护理服务中心,430.0,16263.0,月嫂,东直门,
68,北京圣宝妇产医院,155.0,28778.0,妇幼医院,清河,更多5单团购
69,迪兰朵国际产后恢复中心(金源店),38.0,,产后恢复,远大路,更多8单团购
70,雅月汇月子会所,111.0,44715.0,月子会所,四季青,
71,巍阁月子中心(亚运村店),153.0,124357.0,月子会所,亚运村,
72,北京和美妇儿医院医养月子(百子湾院区),40.0,62348.0,月子会所,百子湾,
73,馨雅宝妈满月发汗满月汗蒸,74.0,497.0,开奶催乳,亚运村,更多8单团购
74,北京明德医院,144.0,31272.0,妇幼医院,798/大山子,更多9单团购
75,福膳坊月子餐小产餐孕期餐(崇文门店),5.0,,月子餐,崇文门,更多2单团购
76,康月国际母婴月子会所,165.0,42861.0,月子会所,孙河,
77,巍阁月子中心(顺义店),18.0,,月子会所,首都机场,
78,台湾宝妈Care产后恢复中心(青年路店),112.0,4498.0,产后恢复,青年路,更多9单团购
79,金豆月子会馆,57.0,42296.0,月子会所,海淀区,
80,享月月嫂公司(朝阳店),558.0,14703.0,月嫂,大望路,更多1单团购
81,福膳坊月子餐小产餐孕期餐(望京店),88.0,5752.0,月子餐,望京,更多2单团购
82,德美月嫂服务中心,32.0,11153.0,月嫂,天通苑,更多2单团购
83,倍馨园高端月子会所(鲁谷店),17.0,108680.0,月子会所,鲁谷,
84,漂亮妈妈产后恢复中心(丰台店),126.0,1838.0,产后恢复,草桥,更多7单团购
85,巍阁月子中心(丰台店),11.0,,月子会所,洋桥/木樨园,
86,金豆月子会馆,2.0,,月子会所,小汤山,
87,享月月嫂公司(望京店),30.0,,月嫂,望京,更多1单团购
88,怡德医院月子休养中心,16.0,,月子会所,紫竹桥,
89,四季美嘉照护,41.0,13900.0,月嫂,东城区,更多1单团购
90,漂亮妈妈产后恢复中心(亦庄店),183.0,4119.0,产后恢复,亦庄,更多4单团购
91,星润月子会所,5.0,,月子会所,通州区,
92,心悦华庭医护式月子会所(东单店),3.0,,月子会所,王府井/东单,
93,我爱我妻月嫂全国中心(数码大厦),13.0,,月嫂,双榆树,
94,妙姿妈妈产后修复中心(望京店),58.0,1634.0,产后恢复,望京,更多3单团购
95,惠爱月子餐  助奶汤恢复功能饮(恢复功能饮),50.0,10553.0,月子餐,望京,"
团购：仅售1元，价值100元代金券
            "
96,心悦华庭母婴服务中心,9.0,,月嫂,亚运村,更多1单团购
97,Pandamama赴美生子美国月子中心,6.0,,月子服务,朝阳门,
98,德禧母婴护理服务中心(三里屯店),8.0,,月子会所,三里屯,
99,美医国际月子中心,4.0,,月子会所,百子湾,
100,和睦家建国门诊所,73.0,1684.0,妇幼医院,建外大街,
101,巍阁月子中心(国标组长单位世纪城店),24.0,,月子会所,四季青,
102,倍馨园高端月子会所(协和国际店),128.0,127353.0,月子会所,王府井/东单,
103,杰玛家月子会所(方庄俱乐部),1.0,,月子会所,方庄,
104,金泉母乳妈妈会所(元大都店),229.0,404.0,月子会所,朝阳区,
105,沐婴国际月子中心,31.0,,月子会所,天通苑,
106,好妈妈母婴护理会所,24.0,,月嫂,通州区,
107,韵味妈妈产后恢复(亚运村店),121.0,600.0,产后恢复,亚运村,更多5单团购
108,韵味妈妈产后修复(十里河店),81.0,991.0,产后恢复,劲松/潘家园,
109,元悦月子中心,,,月子会所,洋桥/木樨园,
